,state,stateabb,year,binge_all,binge_male,binge_female,poverty
331,Texas,TX,2013,False,False,False,True
338,Arizona,AZ,2017,False,False,False,True
339,Missouri,MO,2014,False,False,False,True
357,Mississippi,MS,2014,False,False,False,True
373,West Virginia,WV,2014,False,False,False,True
376,Missouri,MO,2014,False,False,False,True
377,West Virginia,WV,2010,False,False,False,True
420,California,CA,2013,False,False,False,True
424,Mississippi,MS,2010,False,False,False,True
438,Iowa,IA,2012,False,False,False,True
465,Arkansas,AR,2014,False,False,False,True
495,District of Columbia,DC,2018,False,False,False,True
498,Pennsylvania,PA,2016,False,False,False,True
534,Iowa,IA,2018,False,False,False,True
553,California,CA,2017,False,False,False,True
555,Iowa,IA,2010,False,False,False,True
565,Tennessee,TN,2010,False,False,False,True
568,West Virginia,WV,2016,False,False,False,True
572,New Hampshire,NH,2017,False,False,False,True
600,Florida,FL,2016,False,False,False,True
623,Vermont,VT,2018,False,False,False,True
632,Hawaii,HI,2017,False,False,False,True
652,Wyoming,WY,2011,False,False,False,True
679,Arizona,AZ,2013,False,False,False,True
680,Illinois,IL,2015,False,False,False,True
687,Kentucky,KY,2017,False,False,False,True
693,Texas,TX,2018,False,False,False,True
704,Alaska,AK,2016,False,False,False,True
706,Texas,TX,2017,False,False,False,True
710,Florida,FL,2013,False,False,False,True
730,Vermont,VT,2014,False,False,False,True
742,Puerto Rico,PR,2012,False,False,False,True
755,North Carolina,NC,2011,False,False,False,True
818,Colorado,CO,2018,False,False,False,True
823,Kentucky,KY,2010,False,False,False,True
850,Illinois,IL,2018,False,False,False,True
855,Washington,WA,2013,False,False,False,True
865,Nevada,NV,2016,False,False,False,True
874,North Carolina,NC,2015,False,False,False,True
883,Massachusetts,MA,2012,False,False,False,True
901,Vermont,VT,2010,False,False,False,True
902,South Carolina,SC,2017,False,False,False,True
925,Louisiana,LA,2011,False,False,False,True
931,Delaware,DE,2018,False,False,False,True
973,New Hampshire,NH,2013,False,False,False,True
974,Kansas,KS,2013,False,False,False,True
1012,South Carolina,SC,2013,False,False,False,True
1022,Kentucky,KY,2013,False,False,False,True
1034,Mississippi,MS,2016,False,False,False,True
1043,Wisconsin,WI,2016,False,False,False,True
1056,Louisiana,LA,2015,False,False,False,True
1057,South Dakota,SD,2012,False,False,False,True
1066,Oklahoma,OK,2012,False,False,False,True
1091,New Jersey,NJ,2015,False,False,False,True
1104,Rhode Island,RI,2011,False,False,False,True
1110,Kansas,KS,2017,False,False,False,True
1116,Minnesota,MN,2016,False,False,False,True
1120,South Dakota,SD,2010,False,False,False,True
1122,Georgia,GA,2014,False,False,False,True
1139,Oregon,OR,2010,False,False,False,True
1147,United States,US,2017,False,False,False,True
1163,New York,NY,2013,False,False,False,True
1178,Michigan,MI,2016,False,False,False,True
1183,New Mexico,NM,2013,False,False,False,True
1199,West Virginia,WV,2010,False,False,False,True
1216,Missouri,MO,2010,False,False,False,True
1222,Colorado,CO,2017,False,False,False,True
1241,United States,US,2010,False,False,False,True
1262,District of Columbia,DC,2013,False,False,False,True
